ball_up,SHIFTER
ballast,NONSHIFTER
balloon,NONSHIFTER
ballot,NONSHIFTER
ballyhoo,NONSHIFTER
ballyrag,NONSHIFTER
bamboozle,NONSHIFTER
ban,SHIFTER
band,NONSHIFTER
band_together,NONSHIFTER
bandage,NONSHIFTER
bandy,NONSHIFTER
bandy_about,NONSHIFTER
bang,NONSHIFTER
bang_out,NONSHIFTER
bang_up,SHIFTER
banish,SHIFTER
bank,NONSHIFTER
bankroll,NONSHIFTER
bankrupt,NONSHIFTER
banquet,NONSHIFTER
banter,NONSHIFTER
baptise,NONSHIFTER
baptize,NONSHIFTER
bar,SHIFTER
barb,NONSHIFTER
barbarise,NONSHIFTER
barbarize,NONSHIFTER
barbecue,NONSHIFTER
barbeque,NONSHIFTER
barber,NONSHIFTER
bard,NONSHIFTER
barde,NONSHIFTER
bare,NONSHIFTER
barf,NONSHIFTER
bargain,NONSHIFTER
bargain_down,NONSHIFTER
barge,NONSHIFTER
barge_in,NONSHIFTER
bark,NONSHIFTER
barnstorm,NONSHIFTER
baronetise,NONSHIFTER
baronetize,NONSHIFTER
barrack,NONSHIFTER
barrage,NONSHIFTER
barrel,NONSHIFTER
barricade,SHIFTER
barricado,SHIFTER
barter,NONSHIFTER
barter_away,NONSHIFTER
base,NONSHIFTER
bash,NONSHIFTER
basify,NONSHIFTER
bask,NONSHIFTER
basset,NONSHIFTER
bastardise,NONSHIFTER
bastardize,NONSHIFTER
baste,NONSHIFTER
bastinado,NONSHIFTER
bat,NONSHIFTER
batch,NONSHIFTER
bate,SHIFTER
batfowl,NONSHIFTER
bathe,NONSHIFTER
batik,NONSHIFTER
batten,NONSHIFTER
batten_down,NONSHIFTER
batter,NONSHIFTER
battle,SHIFTER
baulk,SHIFTER
bawl,NONSHIFTER
bawl_out,NONSHIFTER
bay,NONSHIFTER
bayonet,NONSHIFTER
be,NONSHIFTER
be_on,NONSHIFTER
beach,NONSHIFTER
beacon,NONSHIFTER
bead,NONSHIFTER
beak,NONSHIFTER
beam,NONSHIFTER
bean,NONSHIFTER
bear,NONSHIFTER
bear_away,NONSHIFTER
bear_down,NONSHIFTER
bear_off,NONSHIFTER
bear_on,NONSHIFTER
bear_out,NONSHIFTER
bear_up,NONSHIFTER
bear_upon,NONSHIFTER
beard,NONSHIFTER
beat,NONSHIFTER
beat_about,NONSHIFTER
beat_back,SHIFTER
beat_down,NONSHIFTER
beat_in,NONSHIFTER
beat_out,NONSHIFTER
beat_up,NONSHIFTER
beatify,NONSHIFTER
beautify,NONSHIFTER
beaver,NONSHIFTER
beaver_away,NONSHIFTER
bebop,NONSHIFTER
becalm,NONSHIFTER
bechance,NONSHIFTER
becharm,NONSHIFTER
beckon,NONSHIFTER
becloud,NONSHIFTER
become,NONSHIFTER
bed,NONSHIFTER
bed-hop,NONSHIFTER
bed_down,NONSHIFTER
bedamn,NONSHIFTER
bedaub,NONSHIFTER
bedaze,NONSHIFTER
bedazzle,NONSHIFTER
bedeck,NONSHIFTER
bedevil,NONSHIFTER
bedew,NONSHIFTER
bedhop,NONSHIFTER
bedight,NONSHIFTER
bedim,NONSHIFTER
bedizen,NONSHIFTER
bedraggle,NONSHIFTER
beef,NONSHIFTER
beef_up,NONSHIFTER
beep,NONSHIFTER
beeswax,NONSHIFTER
beetle,NONSHIFTER
beetle_off,NONSHIFTER
befall,NONSHIFTER
befit,NONSHIFTER
befog,NONSHIFTER
befool,NONSHIFTER
befoul,NONSHIFTER
befriend,NONSHIFTER
befuddle,NONSHIFTER
beg,NONSHIFTER
beg_off,NONSHIFTER
beget,NONSHIFTER
beggar,NONSHIFTER
begild,NONSHIFTER
begin,NONSHIFTER
begrime,NONSHIFTER
begrudge,NONSHIFTER
beguile,NONSHIFTER
behave,NONSHIFTER
behead,NONSHIFTER
behold,NONSHIFTER
behoove,NONSHIFTER
behove,NONSHIFTER
bejewel,NONSHIFTER
belabor,NONSHIFTER
belabour,NONSHIFTER
belay,NONSHIFTER
belch,NONSHIFTER
beleaguer,NONSHIFTER
belie,SHIFTER
believe,NONSHIFTER
believe_in,NONSHIFTER
belittle,SHIFTER
bell,NONSHIFTER
